date,total_weekly_sales,year,month,week_of_year,pred_arima_111,pred_sarima
2024-06-01,48881099.52,2024,6,22,49453687.39759248,52212800.99313006
2024-06-08,48190338.63,2024,6,23,49377365.5971829,51519633.23440283
2024-06-15,48022074.6,2024,6,24,49370684.77616154,51950540.272531696
2024-06-22,49305491.28,2024,6,25,49370099.97117423,52905428.75941522
2024-06-29,49008711.24,2024,6,26,49370048.780329265,64400465.28661627
2024-07-06,61377749.25,2024,7,27,49370044.29934387,52575520.344236195
2024-07-13,48855286.85,2024,7,28,49370043.907101266,51948563.44734977
2024-07-20,50093008.42,2024,7,29,49370043.87276635,51803898.74726743
2024-07-27,50271348.28,2024,7,30,49370043.86976085,50134888.64537587
2024-08-03,49298141.15,2024,8,31,49370043.86949776,51051362.29120672
2024-08-10,48268173.87,2024,8,32,49370043.86947473,52989428.24637777
2024-08-17,51300404.4,2024,8,33,49370043.86947271,52215233.61456641
2024-08-24,49526727.41,2024,8,34,49370043.86947253,52684010.98302002
2024-08-31,49829911.58,2024,8,35,49370043.86947252,77380619.78749223
