date,total_weekly_sales,year,month,week_of_year,is_summer,pred_last_week,pred_rolling_4w,pred_prev_year_same_week
2024-06-01,48881099.52,2024,6,22,1,50325588.8,48804267.305,49341890.88
2024-06-08,48190338.63,2024,6,23,1,48881099.52,48886084.24,48607818.92
2024-06-15,48022074.6,2024,6,24,1,48190338.63,48726452.225,49048894.83
2024-06-22,49305491.28,2024,6,25,1,48022074.6,48854775.3875,50035018.76
2024-06-29,49008711.24,2024,6,26,1,49305491.28,48599751.00750001,61919394.5
2024-07-06,61377749.25,2024,7,27,1,49008711.24,48631653.9375,49693566.38
2024-07-13,48855286.85,2024,7,28,1,61377749.25,51928506.5925,49045339.89
2024-07-20,50093008.42,2024,7,29,1,48855286.85,52136809.655,48895766.97
2024-07-27,50271348.28,2024,7,30,1,50093008.42,52333688.940000005,47170184.1
2024-08-03,49298141.15,2024,8,31,1,50271348.28,52649348.2,48117721.56
2024-08-10,48268173.87,2024,8,32,1,49298141.15,49629446.175000004,50121478.71
2024-08-17,51300404.4,2024,8,33,1,48268173.87,49482667.93000001,49321042.52
2024-08-24,49526727.41,2024,8,34,1,51300404.4,49784516.925,49805709.22
2024-08-31,49829911.58,2024,8,35,1,49526727.41,49598361.707499996,75339416.31
