date,store_id,department,weekly_sales,pred_linear_regression,pred_random_forest,pred_xgboost
2024-06-01,1,1,61506.45,71673.63041166906,49918.51744353695,56324.445
2024-06-08,1,1,9295.16,81758.80113416424,68526.90567357653,57830.383
2024-06-15,1,1,25812.38,75779.85812572352,62705.0418924121,62146.74
2024-06-22,1,1,55422.76,72353.42058467254,63798.40117354397,61610.62
2024-06-29,1,1,58450.43,72323.48067771076,58611.454807677175,58014.305
2024-07-06,1,1,41974.22,72555.17529844408,83606.76822788041,72418.22
2024-07-13,1,1,97841.93,74480.28474863994,45248.737584737595,52198.105
2024-07-20,1,1,98812.46,68117.03157579864,53320.92143304195,54224.805
2024-07-27,1,1,16870.24,68177.80192749883,52177.604152887565,54880.344
2024-08-03,1,1,32390.74,71753.88207624035,54525.982905058445,56484.844
2024-08-10,1,1,48321.53,73006.32749710078,60178.25266002826,58365.566
2024-08-17,1,1,51703.46,68323.27500469447,59286.81978286025,61790.25
2024-08-24,1,1,33274.53,68427.517761744,63465.52471635684,58706.547
2024-08-31,1,1,25620.7,74435.93201279003,46990.45617669078,53725.613
2024-06-01,1,2,51428.06,73190.71121243222,65020.57096245509,61173.715
2024-06-08,1,2,37809.71,81498.85025073306,61651.30028469015,62673.855
2024-06-15,1,2,97206.88,76470.14646784746,62589.82208140917,62206.34
2024-06-22,1,2,82876.59,75424.91548069264,59934.03979751881,65989.734
2024-06-29,1,2,16729.99,74134.22997394286,60513.04735195639,59481.754
2024-07-06,1,2,79576.89,72871.40039250127,92146.82067816141,74004.28
2024-07-13,1,2,37816.06,79984.27291164125,64807.01831555495,59777.895
2024-07-20,1,2,52491.22,68390.88145695493,64570.67870795493,55726.953
2024-07-27,1,2,83178.25,69272.96217122051,61071.835609834714,61631.562
2024-08-03,1,2,21573.73,75859.71232024085,61009.86290858468,62109.74
2024-08-10,1,2,12001.59,72603.18741272899,59034.39803353714,59927.105
2024-08-17,1,2,93085.33,62300.13465835958,66916.31998853244,65692.35
2024-08-24,1,2,97165.88,69895.6499240931,64728.93129496979,60202.934
2024-08-31,1,2,62875.87,83157.41039959516,65515.68903578975,65491.35
2024-06-01,1,3,50539.8,68834.52314261883,69149.74223443969,69719.08
2024-06-08,1,3,102527.05,76688.33190606552,66845.43968462684,63628.355
2024-06-15,1,3,35686.47,72497.94873670349,69606.31150032172,69343.08
2024-06-22,1,3,55517.92,70889.23689699397,65973.12411084695,67318.664
2024-06-29,1,3,11296.65,68718.99984884943,67039.34939406632,64666.316
2024-07-06,1,3,17674.18,73718.05768131022,95580.45092938404,81950.17
2024-07-13,1,3,72330.9,69547.90871623732,62744.37984548146,65137.332
