fold,model,train_start,train_end,test_start,test_end,n_train_weeks,n_test_weeks,n_train_rows,n_test_rows,feature_count,granular_mape,granular_wape,granular_forecast_bias,company_mae,company_rmse,company_mape,company_wape,company_forecast_bias,evaluation_level,forecast_horizon,scenario
1,Operational XGBoost,2022-02-26,2023-05-13,2023-05-20,2023-08-19,64,14,64000,14000.0,23,76.32109685977976,42.74525455612144,0.6897972476958529,916944.3475823094,1204770.830628636,1.8594788990858202,1.8353862869958306,0.6897972476958513,company_week,one_week_ahead,operational_conservative
1,Operational Random Forest,2022-02-26,2023-05-13,2023-05-20,2023-08-19,64,14,64000,14000.0,23,77.72592877612058,43.1599027389509,0.8758296558206627,1037180.3315414047,1298228.401662799,2.1092394674659407,2.0760546293481617,0.8758296558206631,company_week,one_week_ahead,operational_conservative
1,Rolling 4-Week Baseline,2022-02-26,2023-05-13,2023-05-20,2023-08-19,64,14,64000,,0,,,,2660035.557321427,4104603.051182724,5.059832625364245,5.324415595888506,-0.068320714813864,company_week,one_week_ahead,baseline
2,Operational XGBoost,2022-02-26,2023-08-19,2023-08-26,2023-11-25,78,14,78000,14000.0,23,75.97794344557703,43.09188473943689,-0.5657150780005872,1013762.1682003343,1238095.8263545593,1.6271299478986039,1.6220709641454185,-0.5657150780005874,company_week,one_week_ahead,operational_conservative
2,Operational Random Forest,2022-02-26,2023-08-19,2023-08-26,2023-11-25,78,14,78000,14000.0,23,74.79545563586993,43.535525154477725,-3.099195042042155,2153080.316115999,2597089.2251959634,3.365281232535084,3.445037873572179,-3.099195042042157,company_week,one_week_ahead,operational_conservative
2,Rolling 4-Week Baseline,2022-02-26,2023-08-19,2023-08-26,2023-11-25,78,14,78000,,0,,,,6650897.855535713,15169658.333591992,7.904842137074416,10.641774407613916,-8.215599654276218,company_week,one_week_ahead,baseline
3,Operational XGBoost,2022-02-26,2023-11-25,2023-12-02,2024-03-02,92,14,92000,14000.0,23,76.9381548737988,43.22403562867142,-0.6843639333458429,1603188.1749860484,2236772.61293835,2.367219707741253,2.580597142452712,-0.6843639333458427,company_week,one_week_ahead,operational_conservative
3,Operational Random Forest,2022-02-26,2023-11-25,2023-12-02,2024-03-02,92,14,92000,14000.0,23,79.9736024090353,43.95754556989472,0.8771456125107078,2192631.2641656203,2714998.8316006963,3.4079015340306826,3.529403511729069,0.8771456125107068,company_week,one_week_ahead,operational_conservative
3,Rolling 4-Week Baseline,2022-02-26,2023-11-25,2023-12-02,2024-03-02,92,14,92000,,0,,,,12228525.748214284,15566256.996958485,18.992758244520743,19.683839423607154,6.9044388683964915,company_week,one_week_ahead,baseline
4,Operational XGBoost,2022-02-26,2024-03-02,2024-03-09,2024-06-08,106,14,106000,14000.0,23,74.73579521503915,42.30727006775615,0.26992233300189244,681744.7539034592,881816.2431673005,1.3842124814585255,1.3868260859070336,0.26992233300189217,company_week,one_week_ahead,operational_conservative
4,Operational Random Forest,2022-02-26,2024-03-02,2024-03-09,2024-06-08,106,14,106000,14000.0,23,76.28661108715917,42.773636591833814,0.47246078957236076,863045.9757049462,1031449.728290298,1.7491122084850548,1.7556345913799252,0.4724607895723607,company_week,one_week_ahead,operational_conservative
4,Rolling 4-Week Baseline,2022-02-26,2024-03-02,2024-03-09,2024-06-08,106,14,106000,,0,,,,1571486.7680357136,2069237.3381013987,3.18692556810018,3.196766577360831,1.84614499287014,company_week,one_week_ahead,baseline
5,Operational Random Forest,2022-02-26,2024-06-08,2024-06-15,2024-09-14,120,14,120000,14000.0,23,77.50980387706224,42.97294333529064,0.31786282494304996,1025677.8421667191,1264164.89962921,1.8809612263980087,1.9477266075629223,0.3178628249430504,company_week,one_week_ahead,operational_conservative
5,Operational XGBoost,2022-02-26,2024-06-08,2024-06-15,2024-09-14,120,14,120000,14000.0,23,76.54933905310489,42.67867687150184,1.0182644684810755,1136448.9359151796,1833014.8409809542,1.9524186518395985,2.158077068275764,1.0182644684810767,company_week,one_week_ahead,operational_conservative
5,Rolling 4-Week Baseline,2022-02-26,2024-06-08,2024-06-15,2024-09-14,120,14,120000,,0,,,,3905718.5867857146,7530389.208175704,6.329362176428428,7.416823977658926,-3.929778961567444,company_week,one_week_ahead,baseline
6,Operational XGBoost,2022-02-26,2024-09-14,2024-09-21,2024-12-21,134,14,134000,14000.0,23,79.02604591688758,43.83135297992352,0.7566186035390269,1258209.6609486614,1984217.7562320235,1.7143245559936147,1.860118551399085,0.7566186035390273,company_week,one_week_ahead,operational_conservative
6,Operational Random Forest,2022-02-26,2024-09-14,2024-09-21,2024-12-21,134,14,134000,14000.0,23,79.54258455949882,44.4645398790012,0.5384822645065193,2143874.3803547365,3075699.5902553666,2.9977566382925476,3.1694721718797703,0.5384822645065208,company_week,one_week_ahead,operational_conservative
6,Rolling 4-Week Baseline,2022-02-26,2024-09-14,2024-09-21,2024-12-21,134,14,134000,,0,,,,11559815.715714289,19273002.14672345,14.65907969415283,17.08986056214379,-4.349375591331271,company_week,one_week_ahead,baseline
