date,total_weekly_sales
2022-06-04,48736583.07
2022-06-11,50380839.2
2022-06-18,49040710.02
2022-06-25,50092721.28
2022-07-02,61815668.77
2022-07-09,48890651.21
2022-07-16,48879301.68
2022-07-23,49811895.6
2022-07-30,49582850.72
2022-08-06,48730634.74
2022-08-13,48904960.39
2022-08-20,48301916.41
2022-08-27,49232662.02
2023-06-03,49341890.88
2023-06-10,48607818.92
2023-06-17,49048894.83
2023-06-24,50035018.76
2023-07-01,61919394.5
2023-07-08,49693566.38
2023-07-15,49045339.89
2023-07-22,48895766.97
2023-07-29,47170184.1
2023-08-05,48117721.56
2023-08-12,50121478.71
2023-08-19,49321042.52
2023-08-26,49805709.22
2024-06-01,48881099.52
2024-06-08,48190338.63
2024-06-15,48022074.6
2024-06-22,49305491.28
2024-06-29,49008711.24
2024-07-06,61377749.25
2024-07-13,48855286.85
2024-07-20,50093008.42
2024-07-27,50271348.28
2024-08-03,49298141.15
2024-08-10,48268173.87
2024-08-17,51300404.4
2024-08-24,49526727.41
2024-08-31,49829911.58
