feature,importance
cat__store_type_A,0.28624263
num__rolling_mean_8,0.108251534
num__is_holiday,0.09447005
cat__holiday_name_Non-Holiday,0.07256683
cat__store_type_B,0.02986668
num__store_size,0.014393573
cat__holiday_name_Black Friday,0.014120344
num__month,0.011623862
cat__season_Fall,0.011426282
num__rolling_mean_4,0.011121939
cat__department_20,0.010271659
cat__department_19,0.009927144
cat__department_18,0.008983212
cat__holiday_name_New Year,0.008921895
cat__department_1,0.008747282
cat__holiday_name_Independence Day,0.008300882
cat__department_2,0.007790522
cat__department_17,0.007760835
cat__department_4,0.007677715
cat__department_3,0.007637604
cat__department_5,0.007206188
cat__department_16,0.007142199
cat__store_type_C,0.006666719
num__week_of_year,0.0066216835
cat__department_15,0.0065564094
cat__department_7,0.0064137634
num__total_markdown,0.0062705292
cat__department_14,0.006128448
cat__department_6,0.006004468
num__rolling_std_4,0.0059454865
cat__holiday_name_Labor Day,0.0053877626
cat__department_9,0.0049888478
num__lag_8,0.0047834236
cat__region_West,0.0044062696
cat__store_id_32,0.0043796776
cat__department_13,0.004262478
cat__season_Spring,0.0042336136
cat__season_Winter,0.004201744
cat__department_11,0.0040205317
cat__department_12,0.0039559244
num__markdown_4,0.003908354
num__lag_4,0.003873239
cat__department_8,0.003821337
num__markdown_3,0.0037518144
cat__store_id_6,0.0037370361
cat__department_10,0.0036913452
cat__store_id_16,0.0036664952
cat__region_North,0.0036592185
cat__store_id_45,0.0036231112
cat__store_id_11,0.003585093
num__markdown_5,0.0035640826
cat__store_id_4,0.0035611177
cat__store_id_1,0.0034820253
cat__region_South,0.0034389338
cat__store_id_41,0.0034331835
num__markdown_2,0.0034264328
cat__region_East,0.003401702
cat__store_id_7,0.003387095
cat__store_id_14,0.0033081654
cat__store_id_43,0.0032958614
num__lag_1,0.003293162
num__cpi,0.003281968
cat__store_id_37,0.0032690596
num__markdown_1,0.0032463083
cat__store_id_22,0.003241721
cat__store_id_17,0.003218432
num__unemployment,0.0032004896
num__fuel_price,0.0031815548
num__temperature,0.0030708313
cat__store_id_5,0.0030597341
cat__store_id_33,0.0030052923
cat__store_id_38,0.0029533093
cat__holiday_name_Christmas,0.0029291986
cat__season_Summer,0.0028827102
cat__store_id_23,0.002881426
cat__store_id_15,0.0025347797
cat__store_id_20,0.0024042036
cat__store_id_47,0.0023137578
cat__store_id_40,0.0021093248
cat__store_id_27,0.0020941799
cat__store_id_30,0.0020757704
cat__store_id_24,0.0019752162
cat__store_id_50,0.001860892
cat__store_id_19,0.0018358524
cat__store_id_49,0.0018091992
cat__store_id_25,0.0015662474
cat__store_id_21,0.0014929746
cat__store_id_10,0.0013205217
cat__store_id_42,0.0012635139
num__year,0.0012542123
cat__store_id_48,0.0011699566
cat__store_id_31,0.0008790148
cat__store_id_18,0.0006753872
cat__store_id_26,0.000637563
cat__store_id_29,0.0002725313
cat__store_id_39,0.00023491796
cat__store_id_2,0.00021054002
cat__store_id_3,0.0
cat__store_id_13,0.0
cat__store_id_12,0.0
cat__store_id_8,0.0
cat__store_id_9,0.0
cat__store_id_44,0.0
cat__store_id_46,0.0
cat__store_id_28,0.0
cat__store_id_34,0.0
cat__store_id_35,0.0
cat__store_id_36,0.0
